Num timestep,mean reward,,
520000,70.38976666,,
,,,
521000,70.38976666,,
,,,
522000,70.38976666,,
,,,
523000,65.472,,
,,,
524000,65.472,,
,,,
525000,65.472,,
,,,
526000,65.472,,
,,,
527000,63.04713334,,
,,,
528000,63.04713334,,
,,,
529000,63.04713334,,
,,,
530000,66.9826,,
,,,
531000,66.9826,,
,,,
532000,66.9826,,
,,,
533000,66.9826,,
,,,
534000,67.4266,,
,,,
535000,67.4266,,
,,,
536000,67.4266,,
,,,
537000,61.43436666,,
,,,
538000,61.43436666,,
,,,
539000,61.43436666,,
,,,
540000,64.74003334,,
,,,
541000,64.74003334,,
,,,
542000,64.74003334,,
,,,
543000,64.74003334,,
,,,
544000,58.15276668,,
,,,
545000,58.15276668,,
,,,
546000,58.15276668,,
,,,
547000,58.15276668,,
,,,
548000,65.58286668,,
,,,
549000,65.58286668,,
,,,
550000,65.58286668,,
,,,
551000,68.69190002,,
,,,
552000,68.69190002,,
,,,
553000,68.69190002,,
,,,
554000,68.69190002,,
,,,
555000,71.30730002,,
,,,
556000,71.30730002,,
,,,
557000,71.30730002,,
,,,
558000,71.55300002,,
,,,
559000,71.55300002,,
,,,
560000,71.55300002,,
,,,
561000,75.47340002,,
,,,
562000,75.47340002,,
,,,
563000,75.47340002,,
,,,
564000,75.47340002,,
,,,
565000,73.46750002,,
,,,
566000,73.46750002,,
,,,
567000,73.46750002,,
,,,
568000,76.15363336,,
,,,
569000,76.15363336,,
,,,
570000,76.15363336,,
,,,
571000,79.99400004,,
,,,
572000,79.99400004,,
,,,
573000,79.99400004,,
,,,
574000,79.99400004,,
,,,
575000,86.07490004,,
,,,
576000,86.07490004,,
,,,
577000,86.07490004,,
,,,
578000,86.07490004,,
,,,
579000,77.39440004,,
,,,
580000,77.39440004,,
,,,
581000,77.39440004,,
,,,
582000,86.9780667,,
,,,
583000,86.9780667,,
,,,
584000,86.9780667,,
,,,
585000,86.9780667,,
,,,
586000,82.67760004,,
,,,
587000,82.67760004,,
,,,
588000,82.67760004,,
,,,
589000,85.77013338,,
,,,
590000,85.77013338,,
,,,
591000,85.77013338,,
,,,
592000,85.77013338,,
,,,
593000,83.68433338,,
,,,
594000,83.68433338,,
,,,
595000,83.68433338,,
,,,
596000,83.53880006,,
,,,
597000,83.53880006,,
,,,
598000,83.53880006,,
,,,
599000,83.53880006,,
,,,
600000,78.81296672,,
,,,
601000,78.81296672,,
,,,
602000,78.81296672,,
,,,
603000,79.27016672,,
,,,
604000,79.27016672,,
,,,
605000,79.27016672,,
,,,
606000,74.05776672,,
,,,
607000,74.05776672,,
,,,
608000,74.05776672,,
,,,
609000,74.05776672,,
,,,
610000,79.75923338,,
,,,
611000,79.75923338,,
,,,
612000,79.75923338,,
,,,
613000,87.28630004,,
,,,
