Num timestep,mean reward
101000,-11.455312531250003
102000,-11.455312531250003
103000,-9.02525254545455
104000,-9.02525254545455
105000,-9.02525254545455
106000,-7.064951000000002
107000,-7.064951000000002
108000,-7.064951000000002
109000,-8.373714314285717
110000,-8.373714314285717
111000,-8.373714314285717
112000,-8.373714314285717
113000,-8.373714314285717
114000,-5.7629166944444465
115000,-5.7629166944444465
116000,-5.7629166944444465
117000,-5.884774810810813
118000,-5.884774810810813
119000,-5.884774810810813
120000,-5.884774810810813
121000,-5.884774810810813
122000,-2.918333368421055
123000,-2.918333368421055
124000,-2.918333368421055
125000,-2.918333368421055
126000,-3.594059871794874
127000,-3.594059871794874
128000,-3.594059871794874
129000,-3.594059871794874
130000,-2.29850005
131000,-2.29850005
132000,-2.29850005
133000,-2.29850005
134000,-0.10894314634146332
135000,-0.10894314634146332
136000,-0.10894314634146332
137000,-0.10894314634146332
138000,1.7682142380952381
139000,1.7682142380952381
140000,1.7682142380952381
141000,3.9266278604651164
142000,3.9266278604651164
143000,3.9266278604651164
144000,3.9266278604651164
145000,3.9266278604651164
146000,3.5011363181818185
147000,3.5011363181818185
148000,3.5011363181818185
149000,3.5011363181818185
150000,1.0714444000000005
151000,1.0714444000000005
152000,1.0714444000000005
153000,1.0714444000000005
154000,1.0714444000000005
155000,4.705144891304348
156000,4.705144891304348
157000,4.705144891304348
158000,4.705144891304348
159000,8.360638255319149
160000,8.360638255319149
161000,8.360638255319149
162000,8.360638255319149
163000,8.360638255319149
164000,8.360638255319149
165000,6.466944395833333
166000,6.466944395833333
167000,6.466944395833333
168000,6.466944395833333
169000,6.466944395833333
170000,9.091122408163265
171000,9.091122408163265
172000,9.091122408163265
173000,11.46309996
174000,11.46309996
175000,11.46309996
176000,11.46309996
177000,9.13203328
178000,9.13203328
179000,9.13203328
180000,9.13203328
181000,9.13203328
182000,12.487233279999998
183000,12.487233279999998
184000,12.487233279999998
185000,12.487233279999998
186000,12.487233279999998
187000,6.3876666
188000,6.3876666
189000,6.3876666
190000,6.3876666
191000,13.6803666
192000,13.6803666
193000,13.6803666
194000,13.6803666
195000,13.6803666
196000,10.4775666
197000,10.4775666
198000,10.4775666
199000,10.4775666
200000,10.4775666
201000,19.431533259999995
202000,19.431533259999995
203000,19.431533259999995
204000,19.431533259999995
205000,27.18063326
206000,27.18063326
207000,27.18063326
208000,5.581999919999999
209000,5.581999919999999
210000,5.581999919999999
211000,5.581999919999999
212000,5.581999919999999
213000,5.581999919999999
214000,-3.8161334199999977
215000,-3.8161334199999977
216000,-3.8161334199999977
217000,-3.8161334199999977
218000,-4.614366739999999
219000,-4.614366739999999
220000,-4.614366739999999
221000,-4.614366739999999
222000,-4.614366739999999
223000,-4.614366739999999
224000,-5.830500079999998
225000,-5.830500079999998
226000,-5.830500079999998
227000,-5.830500079999998
228000,-5.830500079999998
229000,-3.8477333999999983
230000,-3.8477333999999983
231000,-3.8477333999999983
232000,-3.8477333999999983
233000,-3.8477333999999983
234000,-7.348100059999997
235000,-7.348100059999997
236000,-7.348100059999997
237000,-7.348100059999997
238000,-7.348100059999997
239000,-5.560900059999999
240000,-5.560900059999999
241000,-5.560900059999999
242000,-5.560900059999999
243000,-4.621900059999998
244000,-4.621900059999998
245000,-4.621900059999998
246000,-4.621900059999998
247000,-4.1792000599999986
248000,-4.1792000599999986
249000,-4.1792000599999986
250000,-4.1792000599999986
251000,-4.1792000599999986
252000,-11.728966719999999
253000,-11.728966719999999
254000,-11.728966719999999
255000,-11.728966719999999
256000,-9.555300059999999
257000,-9.555300059999999
258000,-9.555300059999999
259000,-9.555300059999999
260000,-9.555300059999999
261000,-12.575300059999993
262000,-12.575300059999993
263000,-12.575300059999993
264000,-12.575300059999993
265000,-12.575300059999993
266000,-10.314400059999995
267000,-10.314400059999995
268000,-10.314400059999995
269000,-10.314400059999995
270000,-19.65706672
271000,-19.65706672
272000,-19.65706672
273000,-19.65706672
274000,-19.65706672
275000,-19.65706672
276000,-15.214000059999998
